date,open,high,low,close,adjcp,zopen,zclose,zhigh,zlow,zadjcp,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
2013-04-29 23:59:59,134.44400024414062,147.48800659179688,134.0,144.5399932861328,144.5399932861328,-0.0698491318039987,-0.0383284457137463,0.0203958312065792,-0.0729209476664893,0.0,0.2347621283567775,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-04-30 23:59:59,144.0,146.92999267578125,134.0500030517578,139.0,139.0,0.0359712230215827,-0.0383284457137463,0.057050307020009,-0.0356114888362747,0.0,0.2347621283567775,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-01 23:59:59,139.0,139.88999938964844,107.72000122070312,116.98999786376952,116.98999786376952,0.1881357597925619,-0.1583453391095718,0.1957432425338199,-0.0792375144229078,0.0,0.2347621283567775,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-02 23:59:59,116.37999725341795,125.5999984741211,92.28189849853516,105.20999908447266,105.20999908447266,0.1061685986707114,-0.1006923582733477,0.1938028663347615,-0.122879010535468,0.0,0.2347621283567775,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-03 23:59:59,106.25,108.12799835205078,79.0999984741211,97.75,97.75,0.0869565217391303,-0.0709057993478647,0.1061687810951486,-0.1907928544846947,0.0,0.2347621283567775,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-04 23:59:59,98.0999984741211,115.0,92.5,112.5,112.5,-0.1280000135633681,0.1508951406649616,0.0222222222222221,-0.1777777777777778,0.0,0.0159111056857639,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-05 23:59:59,112.9000015258789,118.8000030517578,107.14299774169922,115.91000366210938,115.91000366210938,-0.0259684413866896,0.0303111436631944,0.0249331317258265,-0.0756363182074169,0.0,-0.053817645957665,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-06 23:59:59,115.9800033569336,124.66300201416016,106.63999938964844,112.3000030517578,112.3000030517578,0.0327693695919111,-0.0311448580475861,0.1100890349638226,-0.0504007436179742,0.0,-0.0317542457273691,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-07 23:59:59,112.25,113.44400024414062,97.6999969482422,111.5,111.5,0.006726457399103,-0.0071238025825262,0.0174349797680772,-0.1237668435135228,0.0,-0.0135246516343189,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-08 23:59:59,109.5999984741211,115.77999877929688,109.5999984741211,113.56600189208984,113.56600189208984,-0.0349224534798472,0.0185291649514784,0.0194952437377409,-0.0349224534798472,0.0,-0.0036172812642359,0.0295915849457886,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
2013-05-09 23:59:59,113.1999969482422,113.45999908447266,109.26000213623048,112.66999816894533,112.66999816894533,0.0047039920822768,-0.0078897179456567,0.0070116351146358,-0.0302653420443094,0.0,0.0046081760404097,0.0094932299702827,-0.0126242053387868,-0.0532834634675818,-0.0668315515153954,-0.0663524617828448
